name,current_ccu,youtube_score,hype_ratio,engagement_score
Stardew Valley,52912,65.4,3.7807,85.9
Rust,55843,38.9,1.9559,81.7
RimWorld,20386,94.9,17.0052,54.0
Subnautica,20250,92.8,16.2921,53.2
DayZ,22122,59.1,6.9874,45.5
Terraria,16722,80.6,14.3066,45.1
Don't Starve Together,20022,63.9,8.4597,44.3
Palworld,10999,97.4,28.5962,43.0
Factorio,9903,100.0,33.4175,42.4
ARK: Survival Ascended,14160,79.2,15.7184,41.5
Project Zomboid,15354,68.2,11.4938,39.7
Valheim,7039,100.0,40.2861,38.8
Once Human,8195,94.0,32.038,38.5
7 Days to Die,12099,73.4,15.4196,37.2
SCUM,5865,91.4,36.6802,34.8
Oxygen Not Included,6922,81.9,26.8619,33.2
Dyson Sphere Program,2769,96.7,57.9372,32.5
Raft,4624,87.9,38.1574,32.2
Satisfactory,8058,73.3,20.133,32.1
Sons Of The Forest,2825,92.6,52.3859,31.3
Empyrion - Galactic Survival,502,100.0,88.305,30.6
Scrap Mechanic,380,100.0,91.1506,30.5
The Forest,1473,94.6,66.2296,30.2
Space Engineers,2324,82.8,44.6738,27.8
My Time at Sandrock,634,88.0,65.358,27.2
Subnautica: Below Zero,3917,72.4,28.883,26.6
ARK: Survival Evolved,11389,40.1,7.4689,26.3
Enshrouded,5397,64.2,20.4984,26.0
No Man's Sky,4276,67.1,24.5355,25.5
ICARUS,2344,73.9,36.2717,25.1
Lethal Company,1862,74.1,38.9911,24.6
Pax Dei,500,79.3,54.8616,24.4
Conan Exiles,13218,18.9,4.1334,22.3
Grounded,1259,68.2,37.3101,22.0
Night of the Dead,63,72.5,50.902,21.8
Medieval Dynasty,1017,68.1,38.758,21.7
Stranded Deep,327,71.0,46.7646,21.7
Sunkenland,180,70.0,47.0249,21.2
The Long Dark,1741,62.5,30.4127,20.9
Bellwright,976,57.7,30.7368,18.5
Core Keeper,2554,46.2,18.66,17.1
Kenshi,2835,36.6,14.438,14.5
Starbound,569,45.1,24.6721,14.2
V Rising,500,42.0,23.2393,13.2
Stationeers,172,42.8,25.1771,13.0
State of Decay 2,500,31.7,18.3698,10.1
Soulmask,4133,0.0,5.0104,5.2
Abiotic Factor,2817,0.0,4.7274,3.5
Green Hell,2709,0.0,5.5295,3.4
Voidtrain,48,3.3,10.415,1.1
